date,id,activity,gold,iron,oil,silver,copper,aus,chn,clp,per,copper_l1,copper_l2,copper_l3,copper_l4,copper_l5,activity_l1,syp
01-12-06,204,100.2375030517578,635.7000122070313,33.45000076293945,61.06000137329102,12.89999961853027,6290,1.272600054740906,7.821899890899658,527.5820922851563,3.206000089645386,6936,7410,7601,7647,7850.5,97.19039916992188,141.6199951171875
01-01-07,205,103.1013031005859,650.5,36.63000106811523,58.15000152587891,13.35999965667725,5651,1.277799963951111,7.787600040435791,540.510009765625,3.193000078201294,6290,6936,7410,7601,7647,100.2375030517578,143.75
01-02-07,206,101.4345016479492,664.2000122070313,36.63000106811523,61.79999923706055,14.3100004196167,5980,1.277099967002869,7.750199794769287,542.2664794921875,3.190799951553345,5651,6290,6936,7410,7601,103.1013031005859,140.9299926757813
01-03-07,207,116.3398971557617,661.75,36.63000106811523,65.87999725341797,13.35000038146973,6940,1.260699987411499,7.736899852752686,538.4876708984375,3.186199903488159,5980,5651,6290,6936,7410,101.4345016479492,142
01-04-07,208,127.8208999633789,677,36.63000106811523,65.70999908447266,13.5,7824.5,1.208799958229065,7.724699974060059,532.301025390625,3.178699970245361,6940,5980,5651,6290,6936,116.3398971557617,148.2899932861328
01-05-07,209,138.2449951171875,659.0999755859375,36.63000106811523,64.01999664306641,13.25,7440.5,1.21150004863739,7.677299976348877,522.0161743164063,3.167999982833862,7824.5,6940,5980,5651,6290,127.8208999633789,153.3200073242188
01-06-07,210,127.8193969726563,650.5,36.63000106811523,70.69000244140625,12.53999996185303,7650,1.187199950218201,7.633299827575684,526.718994140625,3.170700073242188,7440.5,7824.5,6940,5980,5651,138.2449951171875,150.4299926757813
01-07-07,211,140.7864990234375,665.5,36.63000106811523,78.22000122070313,12.93000030517578,8159,1.152500033378601,7.575699806213379,519.8045043945313,3.161400079727173,7650,7440.5,7824.5,6940,5980,127.8193969726563,145.7200012207031
01-08-07,212,149.9776000976563,672,36.63000106811523,74.05000305175781,11.94999980926514,7580,1.206099987030029,7.573400020599365,522.9227294921875,3.158799886703491,8159,7650,7440.5,7824.5,6940,140.7864990234375,147.5899963378906
01-09-07,213,167.2545013427734,743,36.63000106811523,81.66999816894531,13.64999961853027,8165,1.181900024414063,7.520999908447266,516.9111938476563,3.136499881744385,7580,8159,7650,7440.5,7824.5,149.9776000976563,152.5800018310547
01-10-07,214,186.6589965820313,789.5,36.63000106811523,94.54000091552734,14.31999969482422,7761,1.111600041389465,7.501900196075439,501.4426879882813,3.020299911499023,8165,7580,8159,7650,7440.5,167.2545013427734,154.6499938964844
01-11-07,215,187.1667022705078,783.5,36.63000106811523,88.72000122070313,14.22999954223633,6956,1.115900039672852,7.421000003814697,506.9513854980469,3.001600027084351,7761,8165,7580,8159,7650,186.6589965820313,148.6600036621094
01-12-07,216,180.2839050292969,836.5,36.63000106811523,96.01000213623047,14.76000022888184,6676.5,1.146900057792664,7.368199825286865,499.2767944335938,2.981600046157837,6956,7761,8165,7580,8159,187.1667022705078,146.2100067138672
01-01-08,217,148.3076019287109,923.25,60.79999923706055,91.76000213623047,16.73999977111816,7170.5,1.133399963378906,7.240499973297119,480.8963928222656,2.950999975204468,6676.5,6956,7761,8165,7580,180.2839050292969,137.3699951171875
01-02-08,218,144.0151977539063,971.5,60.79999923706055,101.8499984741211,19.6200008392334,8540.5,1.094900012016296,7.164400100708008,467.2171020507813,2.906300067901611,7170.5,6676.5,6956,7761,8165,148.3076019287109,133.8200073242188
01-03-08,219,159.777099609375,933.5,60.79999923706055,101.5899963378906,17.98999977111816,8520,1.084499955177307,7.072199821472168,442.9419860839844,2.811899900436401,8540.5,7170.5,6676.5,6956,7761,144.0151977539063,131.9700012207031
01-04-08,220,162.4512023925781,871,60.79999923706055,113.4599990844727,16.46999931335449,8655,1.074200034141541,6.99970006942749,446.43359375,2.749500036239624,8520,8540.5,7170.5,6676.5,6956,159.777099609375,138.2599945068359
01-05-08,221,188.9185943603516,885.75,60.79999923706055,127.3499984741211,16.85000038146973,8105,1.053500056266785,6.972499847412109,470.1000061035156,2.805399894714355,8655,8520,8540.5,7170.5,6676.5,162.4512023925781,140.3500061035156
01-06-08,222,182.3591003417969,930.25,60.79999923706055,140,17.64999961853027,8775.5,1.051399946212769,6.899300098419189,493.6123962402344,2.892899990081787,8105,8655,8520,8540.5,7170.5,188.9185943603516,127.9800033569336
01-07-08,223,168.1423034667969,918,60.79999923706055,124.0800018310547,17.47999954223633,8260.5,1.039499998092651,6.83549976348877,502.2413940429688,2.849200010299683,8775.5,8105,8655,8520,8540.5,182.3591003417969,126.8300018310547
01-08-08,224,149.6360931396484,833,60.79999923706055,115.9599990844727,13.76000022888184,7510,1.134400010108948,6.846199989318848,516.7020263671875,2.893399953842163,8260.5,8775.5,8105,8655,8520,168.1423034667969,128.7899932861328
01-09-08,225,109.969596862793,884.5,60.79999923706055,100.6399993896484,12.96000003814697,6419,1.224300026893616,6.830699920654297,530.1699829101563,2.966799974441528,7510,8260.5,8775.5,8105,8655,149.6360931396484,115.9899978637695
01-10-08,226,9.777799606323242,730.75,60.79999923706055,67.80999755859375,9.279999732971191,3995,1.455600023269653,6.835800170898438,618.3944702148438,3.077100038528442,6419,7510,8260.5,8775.5,8105,109.969596862793,96.83000183105469
01-11-08,227,-67.45999908447266,814.5,60.79999923706055,54.43999862670898,10.11999988555908,3581,1.517199993133545,6.828100204467773,651.5054931640625,3.09279990196228,3995,6419,7510,8260.5,8775.5,9.777799606323242,90.08999633789063
01-12-08,228,-76.20700073242188,865,71.69999694824219,44.59999847412109,10.78999996185303,2902,1.488299965858459,6.853899955749512,649.3165283203125,3.114799976348877,3581,3995,6419,7510,8260.5,-67.45999908447266,90.23999786376953
01-01-09,229,-56.57080078125,919.5,73.40000152587891,41.68000030517578,12.51000022888184,3106,1.480599999427795,6.835999965667725,623.0076293945313,3.151799917221069,2902,3581,3995,6419,7510,-76.20700073242188,82.83000183105469
