date,activity,gold,iron,oil,silver,copper,aus,chn,clp,per,copper_L1,copper_L2,copper_L3,copper_L4,copper_L5,activity_L1
01-03-86,-55.386012,344.00,11.36,10.43,5.62,"1,444",1.412628902,3.2202,189.2195,0.00001744,"1,404","1,418","1,391","1,369","1,385",-51.74238
01-04-86,-61.55072,345.75,11.36,13.35,5.11,"1,433",1.383508578,3.2143,189.1913636,0.00001744,"1,444","1,404","1,418","1,391","1,369",-55.386012
01-05-86,-66.3889,343.20,11.36,14.35,5.21,"1,418",1.375137514,3.2014,187.93,0.00001744,"1,433","1,444","1,404","1,418","1,391",-61.55072
01-06-86,-69.351067,346.75,11.36,12.80,5.05,"1,413",1.45158949,3.2115,188.7880952,0.00001744,"1,418","1,433","1,444","1,404","1,418",-66.3889
01-07-86,-80.977961,357.50,11.36,11.38,5.05,"1,345",1.589572405,3.6435,190.3582609,0.00001745,"1,413","1,418","1,433","1,444","1,404",-69.351067
01-08-86,-78.315616,384.70,11.36,15.88,5.17,"1,303",1.633186347,3.7129,194.4605,0.00001763,"1,345","1,413","1,418","1,433","1,444",-80.977961
01-09-86,-54.277054,423.20,11.36,15.10,5.52,"1,310",1.607458608,3.715,198.3247368,0.00001776,"1,303","1,345","1,413","1,418","1,433",-78.315616
01-10-86,-48.830666,401.00,11.36,15.38,5.61,"1,316",1.566661444,3.7257,199.7317391,0.00001808,"1,310","1,303","1,345","1,413","1,418",-54.277054
01-11-86,-51.151784,389.50,11.36,15.13,5.38,"1,303",1.55159038,3.7314,201.9515,0.00001888,"1,316","1,310","1,303","1,345","1,413",-48.830666
01-12-86,-60.143791,388.75,11.36,17.65,5.28,"1,332",1.516300227,3.7314,203.6735,0.00002005,"1,303","1,316","1,310","1,303","1,345",-51.151784
01-01-87,-46.548757,400.50,10.94,18.65,5.55,"1,345",1.513088213,3.7314,204.5447619,0.00002022,"1,332","1,303","1,316","1,310","1,303",-60.143791
01-02-87,-41.822127,405.85,10.94,16.80,5.47,"1,380",1.497678598,3.7314,206.0075,0.00002025,"1,345","1,332","1,303","1,316","1,310",-46.548757
01-03-87,-35.114938,421.00,10.94,18.85,6.31,"1,464",1.455392228,3.7314,207.8163636,0.00002056,"1,380","1,345","1,332","1,303","1,316",-41.822127
01-04-87,-25.219792,453.25,10.94,18.72,8.13,"1,484",1.405678943,3.7314,211.4925,0.00002243,"1,464","1,380","1,345","1,332","1,303",-35.114938
01-05-87,-19.47321,451.00,10.94,19.38,7.69,"1,519",1.40016802,3.7314,212.5410526,0.00002496,"1,484","1,464","1,380","1,345","1,332",-25.219792
01-06-87,-30.762749,447.30,10.94,20.29,7.14,"1,572",1.392951665,3.7314,218.1785,0.00002653,"1,519","1,484","1,464","1,380","1,345",-19.47321
01-07-87,-33.708465,462.50,10.94,21.35,8.32,"1,693",1.412628902,3.7314,224.126087,0.00003551,"1,572","1,519","1,484","1,464","1,380",-30.762749
01-08-87,-18.826835,453.40,10.94,19.73,7.55,"1,755",1.414027149,3.7314,224.5804762,0.000037,"1,693","1,572","1,519","1,484","1,464",-33.708465
01-09-87,-22.375939,459.50,10.94,19.59,7.64,"1,810",1.375894331,3.7314,225.1485,0.00003749,"1,755","1,693","1,572","1,519","1,484",-18.826835
01-10-87,-17.37605,468.80,10.94,19.96,6.88,"1,967",1.406074241,3.7314,229.2733333,0.00004053,"1,810","1,755","1,693","1,572","1,519",-22.375939
01-11-87,-12.365684,492.50,10.94,18.51,7.26,"2,520",1.457725948,3.7314,233.8257143,0.00004166,"1,967","1,810","1,755","1,693","1,572",-17.37605
01-12-87,-5.1776408,484.10,10.94,16.70,6.70,"2,866",1.407261469,3.7314,235.3365,0.00005445,"2,520","1,967","1,810","1,755","1,693",-12.365684
01-01-88,2.8363831,458.00,10.51,16.94,6.55,"2,661",1.406271973,3.7314,243.726,0.00006295,"2,866","2,520","1,967","1,810","1,755",-5.1776408
01-02-88,14.083219,426.15,10.51,16.08,6.14,"2,328",1.400560224,3.7314,239.9971429,0.00006786,"2,661","2,866","2,520","1,967","1,810",2.8363831
01-03-88,19.175582,456.95,10.51,17.08,6.75,"2,359",1.364442625,3.7314,243.3256522,0.00007433,"2,328","2,661","2,866","2,520","1,967",14.083219
01-04-88,11.632631,449.00,10.51,17.99,6.46,"2,284",1.336898396,3.7314,241.8755,0.000075,"2,359","2,328","2,661","2,866","2,520",19.175582
01-05-88,5.1819055,455.50,10.51,17.54,6.60,"2,443",1.286339079,3.7314,245.1531818,0.0001753,"2,284","2,359","2,328","2,661","2,866",11.632631
01-06-88,-5.1311152,436.55,10.51,15.16,6.65,"2,540",1.238236751,3.7314,248.31,0.00016811,"2,443","2,284","2,359","2,328","2,661",5.1819055
01-07-88,-11.490837,436.80,10.51,16.31,6.80,"2,213",1.25,3.7314,248.317619,0.00018828,"2,540","2,443","2,284","2,359","2,328",-5.1311152
01-08-88,-9.4250164,427.75,10.51,15.27,6.46,"2,200",1.241156758,3.7314,245.5927273,0.00022609,"2,213","2,540","2,443","2,284","2,359",-11.490837
01-09-88,-4.8783373,396.70,10.51,13.92,6.17,"2,434",1.263423879,3.7314,245.6738095,0.00035313,"2,200","2,213","2,540","2,443","2,284",-9.4250164
01-10-88,-1.9702955,412.40,10.51,13.58,6.31,"2,937",1.235177866,3.7314,247.0894737,0.00049296,"2,434","2,200","2,213","2,540","2,443",-4.8783373
01-11-88,7.805083,422.60,10.51,15.32,6.07,"3,303",1.175502527,3.7314,246.4352381,0.00057179,"2,937","2,434","2,200","2,213","2,540",-1.9702955
01-12-88,11.274942,410.25,10.51,17.24,6.05,"3,497",1.166452817,3.7314,244.6309524,0.00110893,"3,303","2,937","2,434","2,200","2,213",7.805083
01-01-89,17.740523,394.00,12.03,17.03,5.85,"3,393",1.148765078,3.7314,247.1054545,0.00191287,"3,497","3,303","2,937","2,434","2,200",11.274942
01-02-89,12.176227,387.00,12.03,18.15,5.86,"3,095",1.167678655,3.7314,245.844,0.00147035,"3,393","3,497","3,303","2,937","2,434",17.740523
01-03-89,17.495982,383.20,12.03,20.38,5.77,"3,263",1.224140042,3.7314,249.64,0.00134568,"3,095","3,393","3,497","3,303","2,937",12.176227
01-04-89,16.927228,377.55,12.03,20.42,5.64,"3,117",1.244555072,3.7314,251.356,0.00177293,"3,263","3,095","3,393","3,497","3,303",17.495982
01-05-89,21.482127,361.80,12.03,19.90,5.22,"2,738",1.292657704,3.7314,252.4385714,0.00282735,"3,117","3,263","3,095","3,393","3,497",16.927228
01-06-89,3.0686704,373.00,12.03,20.27,5.18,"2,544",1.322576379,3.7314,261.6571429,0.00322458,"2,738","3,117","3,263","3,095","3,393",21.482127
01-07-89,0.98946153,368.30,12.03,18.31,5.15,"2,504",1.321702353,3.7314,272.8114286,0.00300083,"2,544","2,738","3,117","3,263","3,095",3.0686704
01-08-89,2.369241,359.80,12.03,18.83,5.07,"2,760",1.309757695,3.7314,276.65,0.0033858,"2,504","2,544","2,738","3,117","3,263",0.98946153
01-09-89,3.8440306,366.50,12.03,20.13,5.28,"2,884",1.294163323,3.7314,280.1505556,0.00488622,"2,760","2,504","2,544","2,738","3,117",2.369241
01-10-89,10.549884,375.30,12.03,19.94,5.23,"2,859",1.291655903,3.7314,282.7828571,0.00579734,"2,884","2,760","2,504","2,544","2,738",3.8440306
01-11-89,18.090333,408.15,12.03,19.86,5.57,"2,590",1.277139208,3.7314,288.4180952,0.00939587,"2,859","2,884","2,760","2,504","2,544",10.549884
01-12-89,14.502249,398.60,12.03,21.82,5.22,"2,418",1.272426517,4.1825,294.585,0.01402977,"2,590","2,859","2,884","2,760","2,504",18.090333
01-01-90,16.431185,415.05,14.05,22.70,5.21,"2,366",1.280245807,4.7339,296.7568182,0.01282726,"2,418","2,590","2,859","2,884","2,760",14.502249
01-02-90,12.994688,407.70,14.05,21.54,5.12,"2,359",1.317002502,4.7339,292.463,0.01328649,"2,366","2,418","2,590","2,859","2,884",16.431185
01-03-90,12.440822,368.50,14.05,20.28,4.97,"2,626",1.323451562,4.7339,296.6631818,0.01819444,"2,359","2,366","2,418","2,590","2,859",12.994688
01-04-90,2.6025595,367.75,14.05,18.55,4.94,"2,685",1.309414692,4.7339,296.4115,0.02761318,"2,626","2,359","2,366","2,418","2,590",12.440822
01-05-90,-6.3031508,363.05,14.05,17.40,5.07,"2,740",1.313887794,4.7339,296.9709524,0.03884782,"2,685","2,626","2,359","2,366","2,418",2.6025595
01-06-90,-15.133593,352.20,14.05,17.07,4.84,"2,584",1.283697047,4.7339,296.7889474,0.06983381,"2,740","2,685","2,626","2,359","2,366",-6.3031508
01-07-90,-25.117155,372.30,14.05,20.63,4.86,"2,769",1.264542236,4.7339,296.6654545,0.11492883,"2,584","2,740","2,685","2,626","2,359",-15.133593
01-08-90,-16.103712,387.75,14.05,27.30,4.83,"2,956",1.236552492,4.7339,303.4409091,0.319750121,"2,769","2,584","2,740","2,685","2,626",-25.117155
01-09-90,-18.702771,408.40,14.05,39.58,4.80,"3,040",1.211974306,4.7342,308.3494118,0.434333504,"2,956","2,769","2,584","2,740","2,685",-16.103712
01-10-90,-14.689016,379.50,14.05,35.25,4.22,"2,743",1.249063203,4.7339,312.4895455,0.446399386,"3,040","2,956","2,769","2,584","2,740",-18.702771
01-11-90,-9.7279434,384.85,14.05,29.10,4.09,"2,584",1.293828438,4.9714,326.8647619,0.43948111,"2,743","3,040","2,956","2,769","2,584",-14.689016
01-12-90,-0.45385525,386.20,14.05,28.44,4.19,"2,485",1.298364061,5.2352,334.9778947,0.528640511,"2,584","2,743","3,040","2,956","2,769",-9.7279434
01-01-91,0.17090946,366.00,15.03,21.84,3.83,"2,447",1.283202874,5.2352,337.2304545,0.53952381,"2,485","2,584","2,743","3,040","2,956",-0.45385525
01-02-91,9.9244265,362.70,15.03,19.12,3.68,"2,447",1.276324186,5.2352,337.526,0.552,"2,447","2,485","2,584","2,743","3,040",0.17090946
01-03-91,17.862127,355.65,15.03,19.64,3.84,"2,410",1.296848658,5.2352,340.238,0.565263158,"2,447","2,447","2,485","2,584","2,743",9.9244265
01-04-91,10.407447,357.75,15.03,21.02,3.93,"2,471",1.282873637,5.2767,340.2840909,0.635454545,"2,410","2,447","2,447","2,485","2,584",17.862127
01-05-91,14.240324,360.40,15.03,21.08,4.13,"2,340",1.291489087,5.3257,339.9505,0.798181818,"2,471","2,410","2,447","2,447","2,485",10.407447
01-06-91,16.422032,368.35,15.03,20.58,4.45,"2,218",1.316135825,5.3667,344.89,0.852777778,"2,340","2,471","2,410","2,447","2,447",14.240324
01-07-91,7.9464742,362.85,15.03,21.68,4.07,"2,231",1.296008294,5.3693,348.7182609,0.828181818,"2,218","2,340","2,471","2,410","2,447",16.422032
01-08-91,2.7828752,347.40,15.03,22.30,3.82,"2,236",1.278281989,5.3725,350.89,0.801904762,"2,231","2,218","2,340","2,471","2,410",7.9464742
01-09-91,5.8890604,354.90,15.03,22.23,4.14,"2,319",1.259921885,5.3869,355.6061111,0.803809524,"2,236","2,231","2,218","2,340","2,471",2.7828752
01-10-91,10.229102,357.45,15.03,23.41,4.09,"2,361",1.261829653,5.3917,359.0604348,0.924090909,"2,319","2,236","2,231","2,218","2,340",5.8890604
01-11-91,10.824661,366.30,15.03,21.50,4.07,"2,376",1.271294177,5.3994,364.2565,1.0265,"2,361","2,319","2,236","2,231","2,218",10.229102
01-12-91,5.3821422,353.15,15.03,19.10,3.86,"2,206",1.296680498,5.4232,371.9275,1.006666667,"2,376","2,361","2,319","2,236","2,231",10.824661
01-01-92,2.5053192,354.10,14.31,18.91,4.13,"2,151",1.337613697,5.4618,369.7509091,0.994545455,"2,206","2,376","2,361","2,319","2,236",5.3821422
01-02-92,-10.851629,353.10,14.31,18.65,4.12,"2,209",1.330140995,5.4776,347.8635,0.9775,"2,151","2,206","2,376","2,361","2,319",2.5053192
01-03-92,-18.181247,341.70,14.31,19.48,4.12,"2,232",1.31821777,5.4871,348.3440909,0.961818182,"2,209","2,151","2,206","2,376","2,361",-10.851629
01-04-92,-21.999355,336.35,14.31,20.86,3.98,"2,214",1.311647429,5.5098,346.3005,1.028,"2,232","2,209","2,151","2,206","2,376",-18.181247
01-05-92,-14.334223,337.50,14.31,22.10,4.06,"2,219",1.322926313,5.5182,346.5631579,1.1405,"2,214","2,232","2,209","2,151","2,206",-21.999355
01-06-92,-22.340954,343.40,14.31,22.07,4.03,"2,296",1.323451562,5.4893,354.997,1.185238095,"2,219","2,214","2,232","2,209","2,151",-14.334223
01-07-92,-31.770055,357.85,14.31,21.82,3.95,"2,527",1.342101731,5.4564,361.2478261,1.238095238,"2,296","2,219","2,214","2,232","2,209",-22.340954
01-08-92,-31.724541,340.00,14.31,21.48,3.72,"2,513",1.379690949,5.4417,368.8647619,1.2895,"2,527","2,296","2,219","2,214","2,232",-31.770055
